date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
2012-06-18,133.58,134.73,133.28,134.4,131365500,109.0387,0.19,179139259.35
2012-06-19,135.08,136.25,134.3714,135.7,137382500,110.0934,0.97,177115328.9
2012-06-20,135.71,136.1,134.27,135.48,206466594,109.9149,-0.16,177562103.15
2012-06-21,135.64,135.78,132.33,132.44,205272297,107.4485,-2.24,177577803.15
2012-06-22,133.13,133.71,132.62,133.46,130029203,108.2761,0.77,175711383.6
2012-06-25,132.05,132.1,130.85,131.32,146375703,106.5399,-1.6,176256889.05
2012-06-26,131.7,132.38,130.93,131.98,141633906,107.0753,0.5,175694414.8
2012-06-27,132.42,133.43,131.9667,133.173,108087906,108.0432,0.9,172980289.8
2012-06-28,132.29,132.99,131.28,132.79,169242703,107.7325,-0.29,171633114.8
2012-06-29,135.2,136.27,134.85,136.105,212251109,110.422,2.5,169583421.05
2012-07-02,136.48,136.65,135.52,136.51,129524398,110.7505,0.3,165932226.1
2012-07-03,136.48,137.51,136.34,137.412,80450172,111.4823,0.66,161747264.4
2012-07-05,136.9,137.8,136.29,136.79,126177398,110.9777,-0.45,158845994.45
2012-07-06,135.47,135.77,134.85,135.49,151192000,109.923,-0.95,157166959.3
2012-07-09,135.38,135.57,134.7,135.32,103780492,109.7851,-0.13,155160204.2
2012-07-10,136.01,136.23,133.68,134.14,167884797,108.8277,-0.87,155066644.05
2012-07-11,134.21,134.6,133.38,134.16,141734000,108.844,0.01,153056758.9
2012-07-12,133.38,134.2269,132.6,133.51,143583203,108.3166,-0.48,151624723.75
2012-07-13,133.86,135.89,133.84,135.75,129644094,110.1339,1.68,146576119.05
2012-07-16,135.44,135.83,134.9,135.43,97525195,109.8743,-0.24,142980158.5
2012-07-17,135.97,136.64,134.55,136.36,138860188,110.6288,0.69,143354892.9
2012-07-18,136.04,137.64,135.96,137.37,113349602,111.4482,0.74,142153248.0
2012-07-19,137.65,138.18,137.21,137.73,129847203,111.7403,0.26,138322278.45
2012-07-20,136.95,137.16,136.32,136.47,142904500,110.7181,-0.91,135203888.6
2012-07-23,134.47,136.3852,133.84,135.09,145210797,109.5985,-1.01,135962968.3
2012-07-24,135.19,135.25,133.03,133.925,173301109,108.6533,-0.86,137309238.6
2012-07-25,134.21,134.56,133.25,133.96,129122305,108.6817,0.03,136683658.55
2012-07-26,135.89,136.46,135.26,136.17,156526500,110.4747,1.65,139105588.25
2012-07-27,136.89,139.07,136.1364,138.675,236768891,112.507,1.84,142481897.65
2012-07-30,138.52,139.339,138.27,138.68,106781906,112.5111,0.0,137208437.5
2012-07-31,138.49,138.87,137.71,137.71,120575797,111.7241,-0.7,136761007.45
2012-08-01,138.7,138.73,137.4,137.59,138293703,111.6267,-0.09,139653184.0
2012-08-02,136.55,137.57,135.58,136.64,199556609,110.856,-0.69,143322144.55
2012-08-03,138.56,139.64,136.6794,139.349,157824984,113.0538,1.98,143653793.75
2012-08-06,139.72,140.17,139.56,139.62,86327742,113.2737,0.19,142781156.25
2012-08-07,140.18,140.92,140.03,140.32,109545102,113.8416,0.5,139864171.5
2012-08-08,139.85,140.65,139.81,140.49,89754633,113.9795,0.12,137265203.15
2012-08-09,140.29,140.89,140.15,140.61,90291641,114.0769,0.09,134600625.05
2012-08-10,140.04,140.89,139.81,140.84,99792625,114.2635,0.16,133108051.6
